0,1,2,3,4,5,6,7
1.0,63.4765625,-818.84765625,-890.625,-12.6953125,0.0,1756799769.844581,0.0
1.0,72.265625,-410.64453125,-628.41796875,-172.36328125,0.0,1756799769.8483615,0.0
1.0,-21.484375,-580.078125,-801.7578125,8.30078125,0.0,1756799769.852142,0.0
1.0,-23.4375,-925.29296875,-1000.0,222.16796875,0.0,1756799769.8559227,0.0
1.0,119.140625,-894.04296875,-950.68359375,125.0,0.0,1756799769.8597033,0.0
1.0,208.984375,-882.32421875,-958.984375,-56.15234375,0.0,1756799769.863484,0.0
1.0,-7.32421875,-969.7265625,-1000.0,-100.09765625,0.0,1756799769.8672647,0.0
1.0,-18.5546875,-961.42578125,-998.53515625,192.87109375,0.0,1756799769.8710454,0.0
1.0,139.16015625,-982.421875,-998.046875,250.48828125,0.0,1756799769.874826,0.0
1.0,-240.234375,-607.91015625,-759.765625,-455.078125,0.0,1756799769.8786066,0.0
1.0,-111.81640625,-370.60546875,-620.1171875,-270.5078125,0.0,1756799769.8823872,0.0
1.0,52.734375,-814.94140625,-914.55078125,235.3515625,0.0,1756799769.8861678,0.0
2.0,-191.89453125,-917.48046875,-981.4453125,0.9765625,0.0,1756799769.8899252,0.0
2.0,-190.91796875,-406.25,-654.78515625,-324.21875,0.0,1756799769.8936825,0.0
2.0,151.3671875,-331.0546875,-610.3515625,-56.15234375,0.0,1756799769.89744,0.0
2.0,29.78515625,-804.6875,-914.0625,146.97265625,0.0,1756799769.9011974,0.0
2.0,-213.37890625,-937.01171875,-1000.0,6.8359375,0.0,1756799769.904955,0.0
2.0,60.05859375,-892.08984375,-981.93359375,-26.3671875,0.0,1756799769.9087124,0.0
2.0,191.89453125,-922.8515625,-1000.0,-45.41015625,0.0,1756799769.9124696,0.0
2.0,228.515625,-949.70703125,-988.28125,246.09375,0.0,1756799769.916227,0.0
2.0,-164.0625,-988.28125,-1000.0,84.47265625,0.0,1756799769.9199846,0.0
2.0,-390.13671875,-643.06640625,-863.76953125,-365.72265625,0.0,1756799769.9237418,0.0
2.0,130.859375,-439.94140625,-674.8046875,-118.65234375,0.0,1756799769.9274993,0.0
2.0,170.8984375,-778.3203125,-889.6484375,82.03125,0.0,1756799769.9312568,0.0
3.0,-248.53515625,-886.71875,-1000.0,-25.390625,0.0,1756799769.9362433,0.0
3.0,-271.97265625,-622.0703125,-849.609375,-142.08984375,0.0,1756799769.9412298,0.0
3.0,186.5234375,-598.14453125,-773.4375,-10.25390625,0.0,1756799769.9462163,0.0
3.0,250.9765625,-820.80078125,-920.41015625,80.56640625,0.0,1756799769.9512029,0.0
3.0,-175.29296875,-736.328125,-897.4609375,-19.04296875,0.0,1756799769.9561894,0.0
3.0,-136.71875,-908.203125,-961.9140625,62.98828125,0.0,1756799769.961176,0.0
3.0,279.296875,-1000.0,-1000.0,163.0859375,0.0,1756799769.9661627,0.0
3.0,301.26953125,-900.87890625,-947.75390625,79.1015625,0.0,1756799769.9711492,0.0
3.0,-296.38671875,-736.81640625,-888.671875,-225.5859375,0.0,1756799769.9761357,0.0
3.0,-335.44921875,-701.66015625,-895.99609375,-103.515625,0.0,1756799769.9811223,0.0
3.0,-9.765625,-788.57421875,-911.62109375,-53.7109375,0.0,1756799769.9861088,0.0
3.0,87.40234375,-545.41015625,-702.63671875,-189.453125,0.0,1756799769.9910953,0.0
4.0,-74.70703125,-357.421875,-601.07421875,-121.09375,0.0,1756799769.9947278,0.0
4.0,-100.5859375,-764.16015625,-887.6953125,134.27734375,0.0,1756799769.9983604,0.0
4.0,163.0859375,-1000.0,-1000.0,225.09765625,0.0,1756799770.001993,0.0
4.0,82.03125,-653.3203125,-790.52734375,-166.015625,0.0,1756799770.0056255,0.0
4.0,-34.1796875,-404.78515625,-664.0625,-189.453125,0.0,1756799770.009258,0.0
4.0,74.70703125,-904.296875,-976.07421875,239.74609375,0.0,1756799770.0128908,0.0
4.0,-90.8203125,-969.23828125,-986.81640625,35.64453125,0.0,1756799770.0165234,0.0
4.0,-123.046875,-547.8515625,-741.2109375,-319.82421875,0.0,1756799770.020156,0.0
4.0,-21.97265625,-332.51953125,-599.12109375,-222.65625,0.0,1756799770.0237885,0.0
4.0,-74.21875,-581.0546875,-765.13671875,49.31640625,0.0,1756799770.027421,0.0
4.0,148.4375,-1000.0,-1000.0,378.41796875,0.0,1756799770.0310535,0.0
4.0,-37.109375,-799.31640625,-868.1640625,-110.3515625,0.0,1756799770.034686,0.0
5.0,-208.984375,-228.515625,-482.91015625,-451.66015625,0.0,1756799770.038481,0.0
