0,1,2,3,4,5,6,7
19.0,-73.2421875,-73.2421875,-4.39453125,-81.0546875,0.0,1755739232.3922586,0.0
19.0,-63.96484375,-62.01171875,-35.64453125,-77.63671875,0.0,1755739232.3961372,0.0
19.0,-33.69140625,-66.89453125,-25.390625,-59.5703125,0.0,1755739232.4000158,0.0
19.0,-33.203125,-72.75390625,-4.8828125,-51.26953125,0.0,1755739232.4038944,0.0
19.0,-73.2421875,-48.33984375,-19.53125,-72.265625,0.0,1755739232.407773,0.0
19.0,-67.87109375,-40.0390625,-12.6953125,-73.2421875,0.0,1755739232.4116516,0.0
19.0,-29.78515625,-30.2734375,2.44140625,-39.0625,0.0,1755739232.4155302,0.0
19.0,-31.73828125,-17.08984375,9.27734375,-43.45703125,0.0,1755739232.4194088,0.0
19.0,-58.10546875,-19.53125,9.27734375,-78.61328125,0.0,1755739232.4232874,0.0
19.0,-64.453125,-49.31640625,-10.25390625,-88.8671875,0.0,1755739232.427166,0.0
19.0,-58.10546875,-69.3359375,-30.2734375,-84.47265625,0.0,1755739232.4310446,0.0
19.0,-47.8515625,-53.22265625,-32.71484375,-76.171875,0.0,1755739232.4349232,0.0
20.0,-63.4765625,-48.828125,-26.3671875,-76.171875,0.0,1755739232.4385421,0.0
20.0,-81.54296875,-39.55078125,-24.4140625,-67.3828125,0.0,1755739232.442161,0.0
20.0,-51.26953125,-57.6171875,-41.015625,-65.91796875,0.0,1755739232.44578,0.0
20.0,-26.3671875,-70.80078125,-41.9921875,-59.08203125,0.0,1755739232.449399,0.0
20.0,-42.96875,-48.33984375,-24.4140625,-51.7578125,0.0,1755739232.453018,0.0
20.0,-65.4296875,-58.10546875,-17.08984375,-78.61328125,0.0,1755739232.456637,0.0
20.0,-58.59375,-60.05859375,-16.11328125,-76.66015625,0.0,1755739232.460256,0.0
20.0,-30.76171875,-41.9921875,-26.3671875,-50.78125,0.0,1755739232.463875,0.0
20.0,-30.76171875,-45.8984375,-25.390625,-46.38671875,0.0,1755739232.467494,0.0
20.0,-58.59375,-48.33984375,-28.3203125,-72.75390625,0.0,1755739232.471113,0.0
20.0,-62.01171875,-53.22265625,-48.828125,-79.1015625,0.0,1755739232.474732,0.0
20.0,-41.015625,-46.38671875,-42.48046875,-58.59375,0.0,1755739232.4783509,0.0
21.0,-39.55078125,-22.94921875,-13.671875,-52.24609375,0.0,1755739232.4832783,0.0
21.0,-54.19921875,-34.66796875,-3.90625,-63.96484375,0.0,1755739232.4882057,0.0
21.0,-65.4296875,-88.37890625,-20.99609375,-74.21875,0.0,1755739232.493133,0.0
21.0,-62.98828125,-107.421875,-38.57421875,-68.84765625,0.0,1755739232.4980602,0.0
21.0,-52.734375,-40.52734375,-29.296875,-52.734375,0.0,1755739232.5029876,0.0
21.0,-71.2890625,-21.97265625,-22.94921875,-63.4765625,0.0,1755739232.507915,0.0
21.0,-81.54296875,-33.69140625,-33.203125,-76.171875,0.0,1755739232.5128424,0.0
21.0,-61.03515625,-24.90234375,-33.69140625,-80.078125,0.0,1755739232.5177698,0.0
21.0,-50.29296875,-30.76171875,-25.87890625,-66.89453125,0.0,1755739232.522697,0.0
21.0,-61.03515625,-50.78125,-11.71875,-60.05859375,0.0,1755739232.5276244,0.0
21.0,-72.75390625,-44.43359375,3.90625,-70.3125,0.0,1755739232.5325518,0.0
21.0,-53.22265625,-39.0625,-4.8828125,-66.40625,0.0,1755739232.5374792,0.0
22.0,-30.76171875,-64.453125,-12.6953125,-57.6171875,0.0,1755739232.5412638,0.0
22.0,-40.0390625,-74.70703125,-1.46484375,-55.6640625,0.0,1755739232.5450485,0.0
22.0,-56.15234375,-62.01171875,8.30078125,-63.96484375,0.0,1755739232.5488331,0.0
22.0,-70.80078125,-56.15234375,-15.13671875,-67.87109375,0.0,1755739232.5526178,0.0
22.0,-54.19921875,-59.08203125,-28.3203125,-53.22265625,0.0,1755739232.5564024,0.0
22.0,-26.3671875,-54.19921875,1.46484375,-36.1328125,0.0,1755739232.5601869,0.0
22.0,-37.59765625,-49.31640625,6.34765625,-50.78125,0.0,1755739232.5639715,0.0
22.0,-60.546875,-44.43359375,-13.18359375,-70.3125,0.0,1755739232.5677562,0.0
22.0,-64.94140625,-43.9453125,-13.671875,-83.984375,0.0,1755739232.5715408,0.0
22.0,-41.015625,-44.921875,-1.953125,-55.17578125,0.0,1755739232.5753255,0.0
22.0,-41.50390625,-50.78125,-2.9296875,-47.36328125,0.0,1755739232.5791101,0.0
22.0,-57.12890625,-60.546875,-18.06640625,-75.1953125,0.0,1755739232.5828948,0.0
23.0,-44.43359375,-47.36328125,-23.92578125,-65.91796875,0.0,1755739232.5867047,0.0
23.0,-32.71484375,-39.0625,-20.01953125,-44.43359375,0.0,1755739232.5905144,0.0
23.0,-29.78515625,-62.5,-13.18359375,-38.57421875,0.0,1755739232.5943244,0.0
